"","state_name","total_hh","total_population","total_multi_gen","total_hispanic","total_black","total_asian","total_non_white","total_white","total_hispanic_multigen","total_black_multigen","total_asian_multigen","total_non_white_multigen","total_white_multigen","multi_gen_pct","hispanic_multigen_pct","black_multigen_pct","asian_multigen_pct","non_white_multigen","white_multigen"
"35","North Dakota",343534,763871,31136,8491,8956,4060,38287,280033,886,710,577,5402,25734,0.090634405910332,0.104345777882464,0.0792764627065654,0.142118226600985,0.1410922767519,0.0918963122203455
"36","Ohio",4991481,11374967,793751,127605,584670,87143,884202,3792154,23358,112333,15068,163740,630011,0.159021140218705,0.183049253555895,0.192130603588349,0.172911191948866,0.185183928559311,0.166135394290422
"37","Oklahoma",1590132,3742144,245275,106672,108246,27707,416817,1063250,23076,19925,6808,82193,163082,0.1542482007783,0.216326683665817,0.18407146684404,0.245714079474501,0.197192053107239,0.153380672466494
"38","Oregon",1700607,3991082,250304,136639,27292,64718,288716,1323260,33872,4028,13615,61009,189295,0.147185093322561,0.247894085875921,0.147589037080463,0.21037423900615,0.211311461782513,0.143052007919834
"39","Pennsylvania",5476648,12443249,945233,244401,511840,142386,967372,4085735,63262,120885,34240,230956,714277,0.172593345418585,0.258845094741838,0.236177321037824,0.240473080218561,0.238745797893675,0.174822155621938
"40","Rhode Island",451969,1001106,78256,45160,24111,11421,90258,320231,11991,6567,2014,22636,55620,0.173144618325593,0.26552258635961,0.272365310439219,0.17634182646003,0.250792173546943,0.173687119610531
"41","South Carolina",2057856,4680297,354752,72659,498877,25752,625145,1296720,15305,123607,5521,149495,205257,0.17238912732475,0.210641489698454,0.247770492526214,0.214391115253184,0.239136520327284,0.158289376272441
"42","South Dakota",378397,856556,38945,8972,5639,3800,40569,303832,1115,831,599,9485,29460,0.102921006244764,0.124275523851984,0.147366554353609,0.157631578947368,0.233799206290517,0.0969614787119197
"43","Tennessee",2755046,6409410,471742,90635,424249,36689,596552,2000747,18313,95310,8391,129350,342392,0.171228356985691,0.202052187344845,0.224655803549331,0.228706151707596,0.216829379500865,0.171132082167311
"44","Texas",10291181,26340936,2060706,3029294,1243401,437143,4878766,4812871,915120,275114,105169,1323657,737049,0.200239991892087,0.302090189991463,0.22125927194847,0.240582601116797,0.271309794320941,0.153141233164155
"45","Utah",1024483,2984070,197000,106935,10050,27769,167652,809660,29854,1646,7223,42973,154027,0.192292112216601,0.27917894047786,0.163781094527363,0.260110194821564,0.256322620666619,0.190236642541314
"46","Vermont",285441,606513,33695,3697,2307,2729,13472,246555,341,330,632,2019,31676,0.118045410435081,0.0922369488774682,0.143042912873862,0.231586661780872,0.149866389548694,0.128474376913873
"47","Virginia",3395266,8039442,584136,196371,590353,170427,1031011,2120022,50445,141725,42173,246332,337804,0.17204425220292,0.25688620010083,0.240068230363867,0.247454922048736,0.238922766100459,0.159339855907156
"48","Washington",2994440,7254958,465282,238866,102806,232836,699614,2148779,57501,18700,50805,148138,317144,0.155381974592912,0.24072492527191,0.181895998288038,0.218200793691697,0.211742475136289,0.147592656108423
"49","West Virginia",780031,1734573,125955,7485,25067,5373,46485,686102,1032,4950,657,8047,117908,0.161474351660383,0.137875751503006,0.197470778314118,0.122278056951424,0.173109605249005,0.171851998682412
"50","Wisconsin",2503730,5706340,325561,106336,131094,47947,328893,2029261,21655,25179,11096,65337,260224,0.13003039465118,0.203646930484502,0.192068286878118,0.231422195340689,0.198657314080871,0.128235845462954
"51","Wyoming",244355,559378,27062,16906,1906,1463,27371,202726,2770,263,134,4607,22455,0.110748705776432,0.163847154856264,0.137985309548793,0.0915926179084074,0.168316831683168,0.110765269378373
