"","state","state_name","county","fips_code","total_hh","total_population","total_multi_gen","total_hispanic","total_black","total_asian","total_non_white","total_white","total_hispanic_multigen","total_black_multigen","total_asian_multigen","total_non_white_multigen","total_white_multigen","multi_gen_pct","hispanic_multigen_pct","black_multigen_pct","asian_multigen_pct","non_white_multigen","white_multigen"
"1351","WV","West Virginia","Cabell County","54011",41236.479,87721.537,6557.926,383.439,1070.213,406.41,2339.508,36076.839,12.369,178.467,34.162,269.173,6288.753,0.159032152090386,0.032258064516129,0.166758392955421,0.0840579710144928,0.115055387713998,0.174315521379243
"1352","WV","West Virginia","Mason County","54053",11621.826,24722.878,1848.244,108.066,301.622,114.54,659.352,10167.666,3.486,50.298,9.628,75.862,1772.382,0.159032152090386,0.032258064516129,0.166758392955421,0.0840579710144927,0.115055387713998,0.174315521379243
"1353","WV","West Virginia","Wayne County","54099",17152.695,36488.585,2727.83,159.495,445.165,169.05,973.14,15006.495,5.145,74.235,14.21,111.965,2615.865,0.159032152090386,0.032258064516129,0.166758392955421,0.0840579710144928,0.115055387713998,0.174315521379243
"1354","NH","New Hampshire","Merrimack County","33013",61731.895,139705.455,9814.925,584.16,525.235,771.475,2892.75,52626.87,134.56,20.51,168.165,415.515,9399.41,0.158992770268919,0.230347849904136,0.0390491875065447,0.217978547587414,0.143640134819808,0.178604769768751
"1355","OH","Ohio","Union County","39159",23383.682,53586.547,3717.091,193.109,199.969,385.875,1015.966,17826.396,44.933,34.986,11.662,164.297,3552.794,0.158960894182533,0.232682060390764,0.174957118353345,0.0302222222222222,0.161715057393653,0.199299622873855
"1356","OH","Ohio","Madison County","39097",19156.894,43900.349,3045.197,158.203,163.823,316.125,832.322,14604.132,36.811,28.662,9.554,134.599,2910.598,0.158960894182533,0.232682060390764,0.174957118353345,0.0302222222222222,0.161715057393653,0.199299622873855
"1357","OH","Ohio","Pickaway County","39129",25633.424,58742.104,4074.712,211.688,219.208,423,1113.712,19541.472,49.256,38.352,12.784,180.104,3894.608,0.158960894182533,0.232682060390764,0.174957118353345,0.0302222222222222,0.161715057393653,0.199299622873855
"1358","OH","Ohio","Huron County","39077",24861.956,58450.308,3951.696,814.492,110.124,81.396,1339.576,21723.156,61.712,18.62,0,124.488,3827.208,0.158945498897995,0.0757674722403658,0.169082125603865,0,0.0929308975377284,0.176181030049225
"1359","OH","Ohio","Ashland County","39005",21871.044,51418.692,3476.304,716.508,96.876,71.604,1178.424,19109.844,54.288,16.38,0,109.512,3366.792,0.158945498897995,0.0757674722403658,0.169082125603865,0,0.0929308975377284,0.176181030049225
"1360","AR","Arkansas","Cleburne County","05023",12409.579,28434.812,1970.794,251.069,44.268,59.241,616.931,11095.861,40.362,4.557,9.765,99.169,1871.625,0.158812317484743,0.16076058772688,0.102941176470588,0.164835164835165,0.160745691171298,0.168677761915006
"1361","AR","Arkansas","Izard County","05065",5661.513,12972.564,899.118,114.543,20.196,27.027,281.457,5062.167,18.414,2.079,4.455,45.243,853.875,0.158812317484743,0.16076058772688,0.102941176470588,0.164835164835165,0.160745691171298,0.168677761915006
"1362","AR","Arkansas","Fulton County","05049",5318.391,12186.348,844.626,107.601,18.972,25.389,264.399,4755.369,17.298,1.953,4.185,42.501,802.125,0.158812317484743,0.16076058772688,0.102941176470588,0.164835164835165,0.160745691171298,0.168677761915006
"1363","AR","Arkansas","Independence County","05063",12695.514,29089.992,2016.204,256.854,45.288,60.606,631.146,11351.526,41.292,4.662,9.99,101.454,1914.75,0.158812317484743,0.16076058772688,0.102941176470588,0.164835164835165,0.160745691171298,0.168677761915006
"1364","AR","Arkansas","Sharp County","05135",7720.245,17689.86,1226.07,156.195,27.54,36.855,383.805,6902.955,25.11,2.835,6.075,61.695,1164.375,0.158812317484743,0.16076058772688,0.102941176470588,0.164835164835165,0.160745691171298,0.168677761915006
"1365","AR","Arkansas","Stone County","05137",5261.204,12055.312,835.544,106.444,18.768,25.116,261.556,4704.236,17.112,1.932,4.14,42.044,793.5,0.158812317484743,0.16076058772688,0.102941176470588,0.164835164835165,0.160745691171298,0.168677761915006
"1366","AR","Arkansas","Van Buren County","05141",8120.554,18607.112,1289.644,164.294,28.968,38.766,403.706,7260.886,26.412,2.982,6.39,64.894,1224.75,0.158812317484743,0.16076058772688,0.102941176470588,0.164835164835165,0.160745691171298,0.168677761915006
"1367","AR","Arkansas","Grant County","05053",7431.144,15619.464,1179.864,108.36,2806.608,47.712,3040.968,3345.216,25.704,541.464,22.176,601.272,578.592,0.158772861890444,0.237209302325581,0.192924697713396,0.464788732394366,0.197723882658417,0.172961028525512
"1368","AR","Arkansas","Jefferson County","05069",31626.595,66475.695,5021.445,461.175,11944.79,203.06,12942.215,14237.08,109.395,2304.445,94.38,2558.985,2462.46,0.158772861890444,0.237209302325581,0.192924697713396,0.464788732394366,0.197723882658417,0.172961028525512
"1369","CA","California","Mendocino County","06045",33716.032,75837.132,5351.92,4988.032,384.636,451.136,7270.312,24686.396,1382.136,55.328,117.572,1940.736,3411.184,0.158735167886897,0.277090443686007,0.143845089903181,0.26061320754717,0.266939850724426,0.138180721074068
"1370","CA","California","Lake County","06033",29659.968,66713.868,4708.08,4387.968,338.364,396.864,6395.688,21716.604,1215.864,48.672,103.428,1707.264,3000.816,0.158735167886897,0.277090443686007,0.143845089903181,0.26061320754717,0.266939850724426,0.138180721074068
"1371","AR","Arkansas","Craighead County","05031",40899.915,95090.674,6492.244,1137.036,4290.6,205.003,6372.635,31824.87,95.399,823.697,30.501,1048.462,5443.782,0.1587349020163,0.0839014771739857,0.191977112758122,0.148783188538704,0.164525663246051,0.171054335807185
"1372","TX","Texas","Blanco County","48031",5227.516,12469.422,829.766,864.752,30.086,40.18,1015.574,3952.34,272.832,2.058,4.508,310.072,519.694,0.158730456300851,0.315503173164098,0.0684039087947883,0.11219512195122,0.305316993148702,0.131490205802132
"1373","TX","Texas","Gillespie County","48171",12108.634,28883.253,1922.009,2003.048,69.689,93.07,2352.401,9154.91,631.968,4.767,10.442,718.228,1203.781,0.158730456300851,0.315503173164098,0.0684039087947883,0.11219512195122,0.305316993148702,0.131490205802132
"1374","TX","Texas","Kendall County","48259",13335.5,31809.75,2116.75,2206,76.75,102.5,2590.75,10082.5,696,5.25,11.5,791,1325.75,0.158730456300851,0.315503173164098,0.0684039087947883,0.11219512195122,0.305316993148702,0.131490205802132
"1375","TX","Texas","Kerr County","48265",22617.008,53949.336,3590.008,3741.376,130.168,173.84,4393.912,17099.92,1180.416,8.904,19.504,1341.536,2248.472,0.158730456300851,0.315503173164098,0.0684039087947883,0.11219512195122,0.305316993148702,0.131490205802132
"1376","KY","Kentucky","Caldwell County","21033",5543.296,12538.136,879.284,42.78,258.416,20.212,378.076,4895.52,3.472,59.396,0,66.712,812.572,0.158621152469578,0.0811594202898551,0.229846449136276,0,0.176451295506724,0.165982776089159
"1377","KY","Kentucky","Crittenden County","21055",4023.36,9100.26,638.19,31.05,187.56,14.67,274.41,3553.2,2.52,43.11,0,48.42,589.77,0.158621152469578,0.0811594202898551,0.229846449136276,0,0.176451295506724,0.165982776089159
"1378","KY","Kentucky","Hopkins County","21107",18730.976,42366.766,2971.129,144.555,873.196,68.297,1277.531,16542.12,11.732,200.701,0,225.422,2745.707,0.158621152469578,0.0811594202898551,0.229846449136276,0,0.176451295506724,0.165982776089159
"1379","KY","Kentucky","Livingston County","21139",4246.88,9605.83,673.645,32.775,197.98,15.485,289.655,3750.6,2.66,45.505,0,51.11,622.535,0.158621152469578,0.0811594202898551,0.229846449136276,0,0.176451295506724,0.165982776089159
"1380","KY","Kentucky","Muhlenberg County","21177",12114.784,27401.894,1921.661,93.495,564.764,44.173,826.279,10699.08,7.588,129.809,0,145.798,1775.863,0.158621152469578,0.0811594202898551,0.229846449136276,0,0.176451295506724,0.165982776089159
"1381","CA","California","Shasta County","06089",74350,173367,11787,5052,636,1704,10541,60639,1149,132,510,2475,9312,0.158533960995293,0.227434679334917,0.207547169811321,0.299295774647887,0.234797457546722,0.153564537673774
"1382","CT","Connecticut","New London County","09011",120164,266479,19038,8126,5670,3861,20632,87195,1983,1166,1184,4928,14110,0.158433474251856,0.244031503814915,0.205643738977072,0.306656306656307,0.238852268321055,0.161821205344343
"1383","LA","Louisiana","Ouachita Parish","22073",63429,140667,10041,1036,20497,543,22514,34042,95,4568,37,4777,5264,0.158302984439294,0.0916988416988417,0.222861882226667,0.0681399631675875,0.212179088567114,0.154632512778333
"1384","AR","Arkansas","Calhoun County","05013",2389.52,5206.88,378.168,37.24,795.704,7.448,857.024,1313.816,6.328,169.624,0.056,180.544,197.624,0.158261073353644,0.169924812030075,0.213174748398902,0.0075187969924812,0.210663878724516,0.150419845701377
"1385","AR","Arkansas","Columbia County","05027",9600.75,20920.5,1519.425,149.625,3197.025,29.925,3443.4,5278.725,25.425,681.525,0.225,725.4,794.025,0.158261073353644,0.169924812030075,0.213174748398902,0.0075187969924812,0.210663878724516,0.150419845701377
"1386","AR","Arkansas","Dallas County","05039",3541.61,7717.34,560.499,55.195,1179.347,11.039,1270.232,1947.263,9.379,251.407,0.083,267.592,292.907,0.158261073353644,0.169924812030075,0.213174748398902,0.0075187969924812,0.210663878724517,0.150419845701377
"1387","AR","Arkansas","Union County","05139",16257.27,35425.38,2572.893,253.365,5413.629,50.673,5830.824,8938.641,43.053,1154.049,0.381,1228.344,1344.549,0.158261073353644,0.169924812030075,0.213174748398902,0.0075187969924812,0.210663878724516,0.150419845701377
"1388","AR","Arkansas","Ouachita County","05103",10838.18,23616.92,1715.262,168.91,3609.086,33.782,3887.216,5959.094,28.702,769.366,0.254,818.896,896.366,0.158261073353644,0.169924812030075,0.213174748398902,0.0075187969924812,0.210663878724516,0.150419845701377
"1389","AR","Arkansas","Faulkner County","05045",48597.727,116011.874,7686.211,1509.983,4179.113,391.851,6829.944,38261.947,311.714,741.425,68.148,1197.007,6489.204,0.158159886778244,0.206435436690347,0.177412048920429,0.173913043478261,0.175258684405026,0.169599419496347
"1390","AR","Arkansas","Lonoke County","05085",28419.273,67842.126,4494.789,883.017,2443.887,229.149,3994.056,22375.053,182.286,433.575,39.852,699.993,3794.796,0.158159886778244,0.206435436690347,0.177412048920429,0.173913043478261,0.175258684405026,0.169599419496347
"1391","PA","Pennsylvania","Butler County","42019",81910,188386,12945,769,599,850,2828,73670,133,38,113,317,12628,0.158039311439385,0.17295188556567,0.0634390651085142,0.132941176470588,0.112093352192362,0.171413058232659
"1392","AR","Arkansas","Howard County","05061",5318.192,12872.174,840.314,324.548,194.97,44.354,729.362,4407.528,88.172,52.126,19.296,181.838,658.476,0.158007458173755,0.271676300578035,0.267353951890034,0.435045317220544,0.249311041704942,0.149398029916089
"1393","AR","Arkansas","Sevier County","05133",5873.824,14217.028,928.108,358.456,215.34,48.988,805.564,4868.016,97.384,57.572,21.312,200.836,727.272,0.158007458173755,0.271676300578035,0.267353951890034,0.435045317220544,0.249311041704942,0.149398029916089
"1394","AR","Arkansas","Franklin County","05047",6866.024,16618.553,1084.883,419.006,251.715,57.263,941.639,5690.316,113.834,67.297,24.912,234.761,850.122,0.158007458173755,0.271676300578035,0.267353951890034,0.435045317220544,0.249311041704942,0.149398029916089
"1395","AR","Arkansas","Logan County","05083",8651.984,20941.298,1367.078,527.996,317.19,72.158,1186.574,7170.456,143.444,84.802,31.392,295.826,1071.252,0.158007458173755,0.271676300578035,0.267353951890034,0.435045317220544,0.249311041704942,0.149398029916089
"1396","AR","Arkansas","Polk County","05113",8532.92,20653.115,1348.265,520.73,312.825,71.165,1170.245,7071.78,141.47,83.635,30.96,291.755,1056.51,0.158007458173755,0.271676300578035,0.267353951890034,0.435045317220544,0.249311041704942,0.149398029916089
"1397","AR","Arkansas","Scott County","05127",4445.056,10758.832,702.352,271.264,162.96,37.072,609.616,3683.904,73.696,43.568,16.128,151.984,550.368,0.158007458173755,0.271676300578035,0.267353951890034,0.435045317220544,0.249311041704942,0.149398029916089
"1398","SC","South Carolina","Greenville County","45045",201089.478,463255.604,31767.706,11282.847,34616.964,4229.394,52751.898,136207.466,2586.021,7409.716,843.052,11253.109,20514.597,0.157977962427253,0.22919933240254,0.214048695893724,0.199331630016026,0.213321405042147,0.150612867285851
"1399","PA","Pennsylvania","Cambria County","42021",63426,135745,10018,392,1559,232,2737,53937,35,234,0,355,9663,0.157947844732444,0.0892857142857143,0.150096215522771,0,0.129704055535258,0.179153456810724
"1400","WA","Washington","Wahkiakum County","53069",1857.692,4390.896,293.352,108.63,11.56,23.664,215.458,1591.166,19.652,0.748,3.672,33.898,259.454,0.15791207584465,0.180907668231612,0.0647058823529412,0.155172413793103,0.157329966861291,0.163059039723071
"1401","WA","Washington","Cowlitz County","53015",38902.256,91950.528,6143.136,2274.84,242.08,495.552,4511.944,33320.888,411.536,15.664,76.896,709.864,5433.272,0.15791207584465,0.180907668231612,0.0647058823529412,0.155172413793103,0.157329966861291,0.163059039723071
"1402","WA","Washington","Pacific County","53049",13932.69,32931.72,2200.14,814.725,86.7,177.48,1615.935,11933.745,147.39,5.61,27.54,254.235,1945.905,0.15791207584465,0.180907668231612,0.0647058823529412,0.155172413793103,0.157329966861291,0.163059039723071
"1403","CO","Colorado","Elbert County","08039",10277.14,27881.489,1622.796,772.315,150.378,326.889,1475.345,8503.802,137.441,37.43,22.911,236.486,1386.31,0.157903463414919,0.177959770300978,0.248906089986567,0.0700880115268486,0.160291999498422,0.163022375168189
"1404","WA","Washington","Pend Oreille County","53051",6470.372,15491.632,1021.406,424.722,18.886,46.576,1082.466,5167.806,100.678,0.852,7.1,245.518,775.888,0.157858929903876,0.237044466733534,0.0451127819548872,0.152439024390244,0.226813590449954,0.150138762948919
"1405","WA","Washington","Ferry County","53019",3599.714,8618.584,568.247,236.289,10.507,25.912,602.217,2875.047,56.011,0.474,3.95,136.591,431.656,0.157858929903876,0.237044466733534,0.0451127819548872,0.152439024390244,0.226813590449954,0.150138762948919
"1406","WA","Washington","Okanogan County","53047",18180.834,43529.304,2870.007,1193.409,53.067,130.872,3041.577,14520.807,282.891,2.394,19.95,689.871,2180.136,0.157858929903876,0.237044466733534,0.0451127819548872,0.152439024390244,0.226813590449954,0.150138762948919
"1407","WA","Washington","Stevens County","53065",17315.08,41456.48,2733.34,1136.58,50.54,124.64,2896.74,13829.34,269.42,2.28,19,657.02,2076.32,0.157858929903876,0.237044466733534,0.0451127819548872,0.152439024390244,0.226813590449954,0.150138762948919
"1408","ID","Idaho","Jefferson County","16051",7649.055,22383.774,1207.317,698.973,0.708,63.543,950.667,6495.369,173.814,0,2.124,209.745,997.572,0.157838713409696,0.248670549506204,0,0.0334261838440111,0.220629305529697,0.153582036678748
"1409","ID","Idaho","Madison County","16065",9896.235,28959.798,1562.009,904.321,0.916,82.211,1229.959,8403.613,224.878,0,2.748,271.365,1290.644,0.157838713409696,0.248670549506204,0,0.0334261838440111,0.220629305529697,0.153582036678748
"1410","ID","Idaho","Teton County","16081",4796.865,14037.282,757.131,438.339,0.444,39.849,596.181,4073.367,109.002,0,1.332,131.535,625.596,0.157838713409696,0.248670549506204,0,0.0334261838440111,0.220629305529697,0.153582036678748
"1411","ID","Idaho","Fremont County","16043",7519.41,22004.388,1186.854,687.126,0.696,62.466,934.554,6385.278,170.868,0,2.088,206.19,980.664,0.157838713409696,0.248670549506204,0,0.0334261838440111,0.220629305529697,0.153582036678748
"1412","OH","Ohio","Lucas County","39095",188196.73,420149.086,29696.947,8902.019,34804.395,3120.783,50278.242,127622.6,1747.633,6654.371,371.557,9171.354,20525.593,0.157797359178345,0.19631872275267,0.191193411062023,0.119058902845856,0.18241198648115,0.160830393676355
"1413","FL","Florida","Baker County","12003",9835.091,23432.745,1551.116,224.812,596.533,64.449,987.784,7973.448,35.805,129.549,6.727,177.506,1373.61,0.157712419742735,0.159266409266409,0.217169879956348,0.104377104377104,0.179701230228471,0.172273024167211
"1414","FL","Florida","Nassau County","12089",35487.909,84552.255,5596.884,811.188,2152.467,232.551,3564.216,28770.552,129.195,467.451,24.273,640.494,4956.39,0.157712419742735,0.159266409266409,0.217169879956348,0.104377104377104,0.179701230228471,0.172273024167211
"1415","SC","South Carolina","Horry County","45051",135569,298072,21375,5228,15179,1595,23878,107351,1009,3932,242,5438,15937,0.157668788587361,0.192999234889059,0.25904209763489,0.151724137931034,0.227741016835581,0.14845693100204
"1416","OH","Ohio","Harrison County","39067",7481.123,17770.35,1178.268,100.555,59.995,22.308,299.806,6942.52,26.026,8.957,9.802,46.475,1131.793,0.157498814014955,0.258823529411765,0.149295774647887,0.439393939393939,0.155016910935738,0.163023369036027
"1417","OH","Ohio","Tuscarawas County","39157",36785.877,87379.65,5793.732,494.445,295.005,109.692,1474.194,34137.48,127.974,44.043,48.198,228.525,5565.207,0.157498814014955,0.258823529411765,0.149295774647887,0.439393939393939,0.155016910935738,0.163023369036027
"1418","WI","Wisconsin","Racine County","55101",82487,194169,12972,7294,8031,762,17280,59694,1545,1258,104,3242,9730,0.157261144180295,0.211817932547299,0.156643008342672,0.136482939632546,0.187615740740741,0.162997956243509
"1419","GA","Georgia","Evans County","13109",4723.809,10405.131,742.578,243.018,846.285,14.076,1131.531,2611.857,37.26,212.451,6.417,262.407,480.171,0.157198989205533,0.153321976149915,0.251039543416225,0.455882352941177,0.231904384413684,0.183842760151111
"1420","GA","Georgia","Telfair County","13271",7393.788,16286.292,1162.296,380.376,1324.62,22.032,1771.092,4088.124,58.32,332.532,10.044,410.724,751.572,0.157198989205533,0.153321976149915,0.251039543416225,0.455882352941177,0.231904384413684,0.183842760151111
"1421","GA","Georgia","Wheeler County","13309",2669.979,5881.161,419.718,137.358,478.335,7.956,639.561,1476.267,21.06,120.081,3.627,148.317,271.401,0.157198989205533,0.153321976149915,0.251039543416225,0.455882352941176,0.231904384413684,0.183842760151111
"1422","GA","Georgia","Appling County","13001",8626.086,19000.674,1356.012,443.772,1545.39,25.704,2066.274,4769.478,68.04,387.954,11.718,479.178,876.834,0.157198989205533,0.153321976149915,0.251039543416225,0.455882352941176,0.231904384413684,0.183842760151111
"1423","GA","Georgia","Jeff Davis County","13161",6572.256,14476.704,1033.152,338.112,1177.44,19.584,1574.304,3633.888,51.84,295.584,8.928,365.088,668.064,0.157198989205533,0.153321976149915,0.251039543416225,0.455882352941177,0.231904384413684,0.183842760151111
"1424","GA","Georgia","Montgomery County","13209",3970.738,8746.342,624.196,204.276,711.37,11.832,951.142,2195.474,31.32,178.582,5.394,220.574,403.622,0.157198989205533,0.153321976149915,0.251039543416225,0.455882352941176,0.231904384413684,0.183842760151111
"1425","GA","Georgia","Tattnall County","13267",10063.767,22167.453,1582.014,517.734,1802.955,29.988,2410.653,5564.391,79.38,452.613,13.671,559.041,1022.973,0.157198989205533,0.153321976149915,0.251039543416225,0.455882352941176,0.231904384413684,0.183842760151111
"1426","GA","Georgia","Toombs County","13279",12254.519,26993.021,1926.398,630.438,2195.435,36.516,2935.421,6775.687,96.66,551.141,16.647,680.737,1245.661,0.157198989205533,0.153321976149915,0.251039543416225,0.455882352941176,0.231904384413684,0.183842760151111
"1427","GA","Georgia","Wayne County","13305",12322.98,27143.82,1937.16,633.96,2207.7,36.72,2951.82,6813.54,97.2,554.22,16.74,684.54,1252.62,0.157198989205533,0.153321976149915,0.251039543416225,0.455882352941176,0.231904384413684,0.183842760151111
"1428","MI","Michigan","Muskegon County","26121",72828,168132,11448,2633,8423,270,13123,52817,437,1831,63,2470,8978,0.157192288680178,0.165970375996962,0.217380980648225,0.233333333333333,0.188219157204907,0.169983149364788
"1429","NY","New York","Montgomery County","36057",19878.537,46042.788,3124.53,1133.592,333.909,136.335,1784.424,17087.469,109.515,37.548,29.949,200.256,2924.274,0.157181084302129,0.096608832807571,0.112449799196787,0.219672131147541,0.112224448897796,0.171135584796087
"1430","NY","New York","Fulton County","36035",24592.463,56961.212,3865.47,1402.408,413.091,168.665,2207.576,21139.531,135.485,46.452,37.051,247.744,3617.726,0.157181084302129,0.096608832807571,0.112449799196787,0.219672131147541,0.112224448897796,0.171135584796087
"1431","GA","Georgia","Bryan County","13029",11835.695,30132.62,1859.24,966.455,3694.1,186.56,5160.875,6029.545,137.005,705.43,21.465,910.275,948.965,0.157087522110024,0.141760350973403,0.190961262553802,0.115056818181818,0.176379974326059,0.157385839229992
"1432","GA","Georgia","Liberty County","13179",26753.137,68111.092,4202.584,2184.553,8350.06,421.696,11665.525,13629.047,309.683,1594.538,48.519,2057.565,2145.019,0.157087522110024,0.141760350973403,0.190961262553802,0.115056818181818,0.176379974326059,0.157385839229992
"1433","GA","Georgia","Long County","13183",6029.505,15350.58,947.16,492.345,1881.9,95.04,2629.125,3071.655,69.795,359.37,10.935,463.725,483.435,0.157087522110024,0.141760350973403,0.190961262553802,0.115056818181818,0.176379974326059,0.157385839229992
"1434","MO","Missouri","Clay County","29047",94459.96,231543.892,14837.848,4431.14,5849.636,1592.216,13874.084,77952.368,846.376,814.248,418.604,2421.512,12416.336,0.157080820275596,0.19100637759132,0.139196353414127,0.26290654031865,0.17453490983621,0.159281062507299
"1435","ME","Maine","York County","23031",88639.376,203555.873,13916.257,1220.142,336.677,711.397,3883.844,80884.291,95.022,82.712,130.369,515.306,13400.951,0.156998589430503,0.0778778207782373,0.245671667503275,0.183257730915368,0.132679376411617,0.165680515144776
"1436","LA","Louisiana","Rapides Parish","22079",52433.806,120366.064,8230.078,1782.618,12188.082,623.086,15795.916,31989.654,201.438,2625.914,113.354,3179.688,5050.39,0.156961293254203,0.113001215066829,0.215449321722647,0.181923522595597,0.201298107688089,0.157875730697181
"1437","LA","Louisiana","Vernon Parish","22115",20189.194,46345.936,3168.922,686.382,4692.918,239.914,6082.084,12317.346,77.562,1011.086,43.646,1224.312,1944.61,0.156961293254203,0.113001215066829,0.215449321722647,0.181923522595597,0.201298107688088,0.157875730697181
"1438","NV","Nevada","Washoe County","32031",188302,454104,29553,32014,3636,9326,51016,131166,8782,440,2071,12312,17241,0.15694469522363,0.274317486099831,0.121012101210121,0.222067338623204,0.241336051434844,0.131444124239513
"1439","WV","West Virginia","Clay County","54015",4024.704,8710.604,631.539,23.359,259.252,53.063,397.62,3472.548,3.76,48.833,1.222,59.643,571.896,0.156915639013453,0.160965794768612,0.188361131254532,0.0230292294065545,0.15,0.164690596069514
"1440","WV","West Virginia","Kanawha County","54039",81607.296,176621.396,12805.461,473.641,5256.748,1075.937,8062.38,70411.452,76.24,990.167,24.778,1209.357,11596.104,0.156915639013453,0.160965794768612,0.188361131254532,0.0230292294065545,0.15,0.164690596069514
"1441","IN","Indiana","Carroll County","18015",8622.936,20870.808,1352.736,447.72,36.792,19.488,571.704,7614.6,69.384,5.712,3.024,89.88,1262.856,0.156876497749722,0.154971857410882,0.155251141552511,0.155172413793103,0.157214222744637,0.16584666298952
"1442","IN","Indiana","Benton County","18007",3592.89,8696.17,563.64,186.55,15.33,8.12,238.21,3172.75,28.91,2.38,1.26,37.45,526.19,0.156876497749722,0.154971857410882,0.155251141552511,0.155172413793103,0.157214222744637,0.16584666298952
"1443","IN","Indiana","Clinton County","18023",12164.499,29442.747,1908.324,631.605,51.903,27.492,806.511,10742.025,97.881,8.058,4.266,126.795,1781.529,0.156876497749722,0.154971857410882,0.155251141552511,0.155172413793103,0.157214222744637,0.16584666298952
"1444","IN","Indiana","Montgomery County","18107",15090.138,36523.914,2367.288,783.51,64.386,34.104,1000.482,13325.55,121.422,9.996,5.292,157.29,2209.998,0.156876497749722,0.154971857410882,0.155251141552511,0.155172413793103,0.157214222744637,0.16584666298952
"1445","IN","Indiana","White County","18181",11856.537,28697.361,1860.012,615.615,50.589,26.796,786.093,10470.075,95.403,7.854,4.158,123.585,1736.427,0.156876497749722,0.154971857410882,0.155251141552511,0.155172413793103,0.157214222744637,0.16584666298952
"1446","FL","Florida","St. Johns County","12109",90057.424,222699.856,14125.544,4514.712,4846.664,1954.816,12395.672,75200.328,942.392,1195.544,427.464,2717.032,11408.512,0.156850411355315,0.208738010309406,0.246673588266073,0.218672243321111,0.219191988945819,0.151708274463909
"1447","ID","Idaho","Bingham County","16011",14222.41,41276.675,2228.947,1279.847,5.697,120.756,1771.745,12050.516,312.602,0.418,4.38,389.68,1839.267,0.156720766733627,0.244249507948997,0.0733719501492013,0.0362714896154228,0.219941357249491,0.152629729714479
"1448","OR","Oregon","Washington County","41067",225583,566666,35348,24167,4491,22509,58320,160687,6749,631,4395,13054,22294,0.156696204944522,0.27926511358464,0.140503228679581,0.195255231240837,0.22383401920439,0.13874177749289
"1449","OR","Oregon","Josephine County","41033",35837.568,79605.396,5615.532,1731.6,95.94,243.828,3681.288,30921.228,323.856,8.424,52.416,591.552,5023.98,0.156694003343084,0.187027027027027,0.0878048780487805,0.214971209213052,0.160691584032545,0.162476729578786
"1450","OR","Oregon","Coos County","41011",28869.152,64126.569,4523.623,1394.9,77.285,196.417,2965.482,24908.767,260.884,6.786,42.224,476.528,4047.095,0.156694003343084,0.187027027027027,0.0878048780487805,0.214971209213052,0.160691584032545,0.162476729578786
"1451","OR","Oregon","Curry County","41015",11869.28,26365.035,1859.845,573.5,31.775,80.755,1219.23,10241.005,107.26,2.79,17.36,195.92,1663.925,0.156694003343084,0.187027027027027,0.0878048780487805,0.214971209213052,0.160691584032545,0.162476729578786
"1452","CT","Connecticut","Middlesex County","09007",72923,159155,11417,2815,3716,1687,9214,57757,420,838,249,1696,9721,0.156562401437132,0.149200710479574,0.22551130247578,0.147599288678127,0.184067723030171,0.168308603286182
"1453","PA","Pennsylvania","Washington County","42125",92143.75,204264.372,14416.304,836.322,2278.994,734.41,4617.736,80452.17,183.291,228.522,119.715,653.766,13762.538,0.156454496371159,0.219163193124179,0.10027319071485,0.163008401301725,0.141577171150538,0.17106484511232
"1454","TX","Texas","Hays County","48209",80284,199194,12557,23420,2741,1106,28692,44745,5448,532,238,6428,6129,0.156407254247422,0.232621690862511,0.194089748267056,0.215189873417722,0.224034574097309,0.136976198457928
"1455","OK","Oklahoma","Pottawatomie County","40125",28499.906,67676.416,4456.996,812.096,757.198,109.65,4177.584,21911.022,207.398,142.59,49.046,927.718,3529.278,0.156386340361965,0.2553860627315,0.18831270024485,0.447295941632467,0.222070459863883,0.161073180429466
"1456","MD","Maryland","Caroline County","24011",12142.032,28013.16,1897.896,362.544,1542.744,96.936,2178.624,9352.392,54.768,378.84,16.8,474.6,1423.296,0.156307939231259,0.151065801668211,0.245562452357617,0.173310225303293,0.21784392350401,0.152185237744526
"1457","MD","Maryland","Dorchester County","24019",14888.444,34349.47,2327.182,444.548,1891.698,118.862,2671.408,11467.814,67.156,464.53,20.6,581.95,1745.232,0.156307939231259,0.151065801668211,0.245562452357617,0.173310225303293,0.21784392350401,0.152185237744526
"1458","MD","Maryland","Kent County","24029",9467.894,21843.595,1479.907,282.698,1202.973,75.587,1698.808,7292.639,42.706,295.405,13.1,370.075,1109.832,0.156307939231259,0.151065801668211,0.245562452357617,0.173310225303293,0.21784392350401,0.152185237744526
"1459","MD","Maryland","Queen Anne's County","24035",18140.774,41852.995,2835.547,541.658,2304.933,144.827,3254.968,13972.919,81.826,566.005,25.1,709.075,2126.472,0.156307939231259,0.151065801668211,0.245562452357617,0.173310225303293,0.21784392350401,0.152185237744526
"1460","MD","Maryland","Talbot County","24041",17634.856,40685.78,2756.468,526.552,2240.652,140.788,3164.192,13583.236,79.544,550.22,24.4,689.3,2067.168,0.156307939231259,0.151065801668211,0.245562452357617,0.173310225303293,0.21784392350401,0.152185237744526
"1461","NJ","New Jersey","Cape May County","34009",44939.885,100902.85,7020.111,2253.86,1911.993,516.115,5003.948,37177.326,303.987,505.698,129.739,1028.442,5991.669,0.156211147402803,0.134873949579832,0.264487369985141,0.251376146788991,0.20552611657835,0.161164603392939
