"","state","state_name","county","fips_code","total_hh","total_population","total_multi_gen","total_hispanic","total_black","total_asian","total_non_white","total_white","total_hispanic_multigen","total_black_multigen","total_asian_multigen","total_non_white_multigen","total_white_multigen","multi_gen_pct","hispanic_multigen_pct","black_multigen_pct","asian_multigen_pct","non_white_multigen","white_multigen"
"146","MS","Mississippi","Tallahatchie County","28135",5310.25,12445.95,1148.84,49.5,2515.37,13.97,2625.7,2095.61,10.67,701.14,7.48,730.73,418.11,0.216343863283273,0.215555555555556,0.278742292386408,0.535433070866142,0.278299120234604,0.199517085717285
"147","WV","West Virginia","McDowell County","54047",9429.702,21937.011,2039.547,47.085,280.101,19.929,382.812,8536.839,10.95,67.014,0,83.001,1956.546,0.216289655813089,0.232558139534884,0.239249413604378,0,0.216819221967963,0.229188579051333
"148","WV","West Virginia","Logan County","54045",13950.792,32454.756,3017.412,69.66,414.396,29.484,566.352,12629.844,16.2,99.144,0,122.796,2894.616,0.216289655813089,0.232558139534884,0.239249413604378,0,0.216819221967963,0.229188579051333
"149","WV","West Virginia","Mingo County","54059",10592.268,24641.574,2290.998,52.89,314.634,22.386,430.008,9589.326,12.3,75.276,0,93.234,2197.764,0.216289655813089,0.232558139534884,0.239249413604378,0,0.216819221967963,0.229188579051333
"150","WV","West Virginia","Wyoming County","54109",9128.296,21235.828,1974.356,45.58,271.148,19.292,370.576,8263.972,10.6,64.872,0,80.348,1894.008,0.216289655813089,0.232558139534884,0.239249413604378,0,0.216819221967963,0.229188579051333
"151","PA","Pennsylvania","Bucks County","42017",248928,618609,53783,9458,9474,9266,30911,207917,2546,1873,2798,7799,45984,0.21605845867078,0.269190103615986,0.197698965590036,0.301964170084179,0.252305004690887,0.221165176488695
"152","AL","Alabama","Pickens County","01107",8614.08,21791.376,1859.112,85.536,1581.12,26.568,1759.104,6429.456,27.216,470.016,6.264,520.128,1338.984,0.215822467402207,0.318181818181818,0.297267759562842,0.235772357723577,0.295677799607073,0.208257743734462
"153","NJ","New Jersey","Burlington County","34005",178411,436632,38479,9528,26376,6920,46836,119555,2437,7688,2155,13106,25373,0.215676163465257,0.255772460117548,0.291477100394298,0.311416184971098,0.279827483132633,0.212228681360043
"154","SC","South Carolina","Fairfield County","45039",11726.409,29407.845,2526.828,415.308,5322.366,212.901,6185.418,5396.619,99.534,1398.723,67.257,1631.34,895.488,0.215481823975268,0.239663093415008,0.26280097986497,0.315907393577297,0.263739653488253,0.165935004861377
"155","TX","Texas","Ector County","48135",54254,142978,11679,27823,2649,616,31845,20685,7316,744,212,8413,3266,0.215265233899805,0.262947920784962,0.280860702151755,0.344155844155844,0.264185900455331,0.157892192409959
"156","SC","South Carolina","Dillon County","45033",10831.48,24744.5,2331.12,184.36,4206.18,36.52,4568.52,6000.72,31.24,1189.76,20.02,1285.24,1045.88,0.215217126376082,0.16945107398568,0.282859982216643,0.548192771084337,0.281325243185977,0.174292418243144
"157","SC","South Carolina","Georgetown County","45043",26586.36,60736.5,5721.84,452.52,10324.26,89.64,11213.64,14729.04,76.68,2920.32,49.14,3154.68,2567.16,0.215217126376082,0.16945107398568,0.282859982216643,0.548192771084337,0.281325243185977,0.174292418243144
"158","SC","South Carolina","Marion County","45067",11816.16,26994,2543.04,201.12,4588.56,39.84,4983.84,6546.24,34.08,1297.92,21.84,1402.08,1140.96,0.215217126376082,0.16945107398568,0.282859982216643,0.548192771084337,0.281325243185977,0.174292418243144
"159","NJ","New Jersey","Salem County","34033",27074.81,65191.945,5824.735,2909.375,4075.12,269.99,7612.92,16704.135,746.795,1263.5,56.525,2153.935,3670.8,0.21513484305153,0.256685714285714,0.310052219321149,0.20935960591133,0.282931516422082,0.219753971097576
"160","TN","Tennessee","Lauderdale County","47097",11420.325,28143.45,2452.95,231.75,2484.9,40.95,2903.4,7609.5,12.375,770.175,20.025,866.025,1586.925,0.214788108044211,0.0533980582524272,0.309942049981891,0.489010989010989,0.298279603223807,0.208545239503253
"161","TN","Tennessee","Fayette County","47047",15886.941,39150.666,3412.326,322.39,3456.772,56.966,4038.952,10585.66,17.215,1071.399,27.857,1204.737,2207.589,0.214788108044211,0.0533980582524272,0.309942049981891,0.489010989010989,0.298279603223807,0.208545239503253
"162","TN","Tennessee","Tipton County","47167",23500.491,57912.966,5047.626,476.89,5113.372,84.266,5974.552,15658.66,25.465,1584.849,41.207,1782.087,3265.539,0.214788108044211,0.0533980582524272,0.309942049981891,0.489010989010989,0.298279603223807,0.208545239503253
"163","CA","California","Sacramento County","06067",567092,1448636,121728,92234,56154,77592,250667,292359,26935,13335,24297,69451,52277,0.214653001629365,0.292028969794219,0.237471952131638,0.313137952366223,0.277064791137246,0.178810982388091
"164","MS","Mississippi","Neshoba County","28099",10987.053,26094.915,2355.969,285.978,3730.419,38.346,4519.515,5875.716,50.82,981.288,2.31,1208.361,1147.608,0.214431385741017,0.177705977382876,0.263050343674531,0.0602409638554217,0.267365192946588,0.195313728573675
"165","MS","Mississippi","Jasper County","28061",7324.702,17396.61,1570.646,190.652,2486.946,25.564,3013.01,3917.144,33.88,654.192,1.54,805.574,765.072,0.214431385741017,0.177705977382876,0.263050343674531,0.0602409638554217,0.267365192946588,0.195313728573675
"166","MS","Mississippi","Kemper County","28069",4185.544,9940.92,897.512,108.944,1421.112,14.608,1721.72,2238.368,19.36,373.824,0.88,460.328,437.184,0.214431385741017,0.177705977382876,0.263050343674531,0.0602409638554217,0.267365192946588,0.195313728573675
"167","MS","Mississippi","Leake County","28079",8371.088,19881.84,1795.024,217.888,2842.224,29.216,3443.44,4476.736,38.72,747.648,1.76,920.656,874.368,0.214431385741017,0.177705977382876,0.263050343674531,0.0602409638554217,0.267365192946588,0.195313728573675
"168","MS","Mississippi","Scott County","28123",10226.045,24287.475,2192.785,266.17,3472.035,35.69,4206.475,5468.74,47.3,913.32,2.15,1124.665,1068.12,0.214431385741017,0.177705977382876,0.263050343674531,0.0602409638554217,0.267365192946588,0.195313728573675
"169","MS","Mississippi","Smith County","28129",6421.005,15250.275,1376.865,167.13,2180.115,22.41,2641.275,3433.86,29.7,573.48,1.35,706.185,670.68,0.214431385741017,0.177705977382876,0.263050343674531,0.0602409638554217,0.267365192946588,0.195313728573675
"170","TX","Texas","Bexar County","48029",666571,1680037,142655,332545,53734,17778,415026,221216,93502,10509,3803,109758,32897,0.214013210895764,0.281170969342495,0.195574496594335,0.213916076049049,0.264460539821602,0.148709858238102
"171","LA","Louisiana","St. Helena Parish","22091",4967.688,12653.208,1063.083,98.022,430.683,23.25,614.451,4246.38,42.222,116.994,5.301,171.399,891.684,0.213999550696421,0.430740037950664,0.271647592312675,0.228,0.278946571817769,0.209986859395532
"172","LA","Louisiana","Livingston Parish","22063",48448.312,123402.792,10367.917,955.978,4200.317,226.75,5992.549,41413.62,411.778,1141.006,51.699,1671.601,8696.316,0.213999550696421,0.430740037950664,0.271647592312675,0.228,0.278946571817769,0.209986859395532
"173","NC","North Carolina","Anson County","37007",11646.18,29148.588,2487.24,906.948,2278.08,64.512,3396.204,7255.836,348.516,639.324,30.492,1084.104,1403.136,0.213567023693606,0.384273409280356,0.280641592920354,0.47265625,0.319210506789345,0.193380335498211
"174","NM","New Mexico","Dona Ana County","35013",83544,203081,17816,47394,1454,944,51587,26254,13606,295,104,14264,3552,0.2132528966772,0.287082753091109,0.202888583218707,0.110169491525424,0.276503770329734,0.135293669536071
"175","GA","Georgia","Carroll County","13045",45364,115508,9664,2154,7315,367,10530,31373,370,2177,93,2837,6827,0.21303236046204,0.171773444753946,0.297607655502392,0.253405994550409,0.269420702754036,0.217607496892232
"176","PA","Pennsylvania","Carbon County","42025",30861.69,77110.568,6551.48,963.97,488.724,564.904,2302.394,27912.938,342.81,144.742,229.712,747.736,5803.744,0.212285198898699,0.355623100303951,0.296163069544364,0.406639004149378,0.324764571137694,0.207923078537988
"177","NJ","New Jersey","Hudson County","34017",266621,652555,56596,92654,32152,39212,169554,89038,29160,7878,7231,45243,11353,0.212271351468939,0.314719278174715,0.245023637720826,0.184407834336428,0.26683534449202,0.127507356409623
"178","NY","New York","Westchester County","36119",374637.52,920073.2,79464.968,65367.528,52487.56,19013.28,142229.72,206924.016,21219.88,14734.656,4715.72,41804.6,37660.368,0.212111611244917,0.324624177313237,0.280726633129831,0.24802243484554,0.293923098491651,0.182000952465566
"179","MS","Mississippi","Copiah County","28029",11173.172,25353.22,2365.716,127.136,4923.78,83.844,5200.794,4958.578,19.454,1573.034,2.192,1602.352,763.364,0.211731816175389,0.15301724137931,0.319476905954368,0.0261437908496732,0.308097571255466,0.153948168204675
"180","MS","Mississippi","Warren County","28149",20062.776,45524.76,4247.928,228.288,8841.24,150.552,9338.652,8903.724,34.932,2824.572,3.936,2877.216,1370.712,0.211731816175389,0.15301724137931,0.319476905954368,0.0261437908496732,0.308097571255466,0.153948168204675
"181","AZ","Arizona","Yuma County","04027",78877,205212,16690,37712,1625,1122,42030,31068,12802,362,200,13781,2909,0.21159526858273,0.339467543487484,0.222769230769231,0.17825311942959,0.327884844158934,0.0936333204583494
"182","MS","Mississippi","Hinds County","28049",96146.052,217882.614,20343.584,913.044,59208.292,693.666,61429.825,26313.593,301.637,16119.725,175.392,16669.164,3674.42,0.211590424950574,0.330364144553822,0.272254517998932,0.252847912395879,0.271352946227667,0.139639615160119
